----------------------------------------ARGUMENTS----------------------------------------
auto_arg_by_dataset                      yelp23
index                                    5
emsize                                   384
nhead                                    2
nhid                                     2048
nlayers                                  6
dropout                                  0.2
lr                                       1.0
clip                                     1.0
epochs                                   200
batch_size                               256
seed                                     2022
cuda                                     True
log_interval                             200
checkpoint                               ./yelp23/5
outf                                     generated.json
vocab_size                               20000
endure_times                             5
rating_reg                               0.2
context_reg                              1.0
text_reg                                 1.0
peter_mask                               True
use_feature                              True
words                                    15
data_path                                /home/P76114511/projects/nete_format_data/yelp23/reviews.pickle
index_dir                                /home/P76114511/projects/nete_format_data/yelp23/5
meta_root                                data/yelp23/5/train-data
----------------------------------------ARGUMENTS----------------------------------------
[2024-08-03 18:34:45.138224]: Model will be saved to (model/yelp23/5/model.pt)
[2024-08-03 18:34:45.138273]: Prediction will be saved to (model/yelp23/5/generated.json)
[2024-08-03 18:34:45.138281]: Loading data
[2024-08-03 18:36:27.143644]: epoch 1
[2024-08-03 18:36:33.607786]: context ppl 2858.4974 | text ppl 2717.3665 | rating loss 3.1008 |   200/ 9625 batches
[2024-08-03 18:36:39.827686]: context ppl 953.1819 | text ppl 760.8065 | rating loss 1.3389 |   400/ 9625 batches
[2024-08-03 18:36:46.056563]: context ppl 826.6571 | text ppl 443.3932 | rating loss 1.2444 |   600/ 9625 batches
[2024-08-03 18:36:52.321039]: context ppl 756.7090 | text ppl 298.8926 | rating loss 1.2103 |   800/ 9625 batches
[2024-08-03 18:36:58.548547]: context ppl 709.9726 | text ppl 232.2114 | rating loss 1.2474 |  1000/ 9625 batches
[2024-08-03 18:37:04.793722]: context ppl 680.3513 | text ppl 194.7672 | rating loss 1.2152 |  1200/ 9625 batches
[2024-08-03 18:37:11.063190]: context ppl 652.2756 | text ppl 168.2490 | rating loss 1.2040 |  1400/ 9625 batches
[2024-08-03 18:37:17.332257]: context ppl 642.1231 | text ppl 153.0932 | rating loss 1.1819 |  1600/ 9625 batches
[2024-08-03 18:37:23.597358]: context ppl 624.8059 | text ppl 137.6991 | rating loss 1.1796 |  1800/ 9625 batches
[2024-08-03 18:37:29.861793]: context ppl 623.9970 | text ppl 131.7256 | rating loss 1.1537 |  2000/ 9625 batches
[2024-08-03 18:37:36.121690]: context ppl 623.4410 | text ppl 123.3322 | rating loss 1.1912 |  2200/ 9625 batches
[2024-08-03 18:37:42.383046]: context ppl 610.4542 | text ppl 114.7752 | rating loss 1.1831 |  2400/ 9625 batches
[2024-08-03 18:37:48.640333]: context ppl 599.5494 | text ppl 108.7861 | rating loss 1.1541 |  2600/ 9625 batches
[2024-08-03 18:37:54.899058]: context ppl 591.2091 | text ppl 104.2095 | rating loss 1.1673 |  2800/ 9625 batches
[2024-08-03 18:38:01.159271]: context ppl 599.7660 | text ppl 102.5142 | rating loss 1.1323 |  3000/ 9625 batches
[2024-08-03 18:38:07.432365]: context ppl 603.0474 | text ppl 99.6538 | rating loss 1.1875 |  3200/ 9625 batches
[2024-08-03 18:38:13.681477]: context ppl 591.3588 | text ppl 94.5433 | rating loss 1.1752 |  3400/ 9625 batches
[2024-08-03 18:38:19.931145]: context ppl 582.7058 | text ppl 92.6020 | rating loss 1.1543 |  3600/ 9625 batches
[2024-08-03 18:38:26.181818]: context ppl 583.5005 | text ppl 90.8844 | rating loss 1.1756 |  3800/ 9625 batches
[2024-08-03 18:38:32.427426]: context ppl 593.2772 | text ppl 89.6959 | rating loss 1.1930 |  4000/ 9625 batches
[2024-08-03 18:38:38.663866]: context ppl 574.5388 | text ppl 86.7243 | rating loss 1.1579 |  4200/ 9625 batches
[2024-08-03 18:38:44.854169]: context ppl 577.8101 | text ppl 85.1937 | rating loss 1.1019 |  4400/ 9625 batches
[2024-08-03 18:38:51.113682]: context ppl 588.2179 | text ppl 84.9702 | rating loss 1.1695 |  4600/ 9625 batches
[2024-08-03 18:38:57.363998]: context ppl 574.9585 | text ppl 82.4646 | rating loss 1.1785 |  4800/ 9625 batches
[2024-08-03 18:39:03.618903]: context ppl 580.2914 | text ppl 81.7310 | rating loss 1.1821 |  5000/ 9625 batches
[2024-08-03 18:39:09.872968]: context ppl 583.0082 | text ppl 80.4232 | rating loss 1.1481 |  5200/ 9625 batches
[2024-08-03 18:39:16.121943]: context ppl 563.7604 | text ppl 77.5057 | rating loss 1.1175 |  5400/ 9625 batches
[2024-08-03 18:39:22.365290]: context ppl 573.2527 | text ppl 77.5931 | rating loss 1.1859 |  5600/ 9625 batches
